,result,table,duration_in_ms,event_code,header.cycle_id,header.run_id,tag,timestamp,user_message
699,_result,0,0.0,301.0,77,RAFCON_6fe11a087d844888b527cad1140070f4,step_3,1632319240.9142003,QA_FAIL
700,_result,0,0.0,201.0,77,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319240.9978878,CYCLE_END
701,_result,0,21865.0,202.0,77,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319241.1232586,CYCLE_TIME
702,_result,0,0.0,300.0,77,RAFCON_6fe11a087d844888b527cad1140070f4,cycle,1632319241.2331648,QA_PASS
703,_result,0,0.0,200.0,78,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319241.5422788,CYCLE_START
704,_result,0,0.0,301.0,78,RAFCON_6fe11a087d844888b527cad1140070f4,step_1,1632319244.1150134,QA_FAIL
705,_result,0,0.0,301.0,78,RAFCON_6fe11a087d844888b527cad1140070f4,step_2,1632319247.4188657,QA_FAIL
706,_result,0,0.0,102.0,78,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319247.4935756,TASK_PAUSED
707,_result,0,852.0,103.0,78,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319248.3163316,TASK_RESUMED
708,_result,0,0.0,301.0,78,RAFCON_6fe11a087d844888b527cad1140070f4,step_3,1632319254.97182,QA_FAIL
709,_result,0,0.0,201.0,78,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319256.2164428,CYCLE_END
710,_result,0,14885.0,202.0,78,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319256.3021407,CYCLE_TIME
711,_result,0,0.0,300.0,78,RAFCON_6fe11a087d844888b527cad1140070f4,cycle,1632319256.3614597,QA_PASS
712,_result,0,0.0,200.0,79,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319256.4614134,CYCLE_START
713,_result,0,0.0,300.0,79,RAFCON_6fe11a087d844888b527cad1140070f4,step_1,1632319264.7856948,QA_PASS
714,_result,0,0.0,300.0,79,RAFCON_6fe11a087d844888b527cad1140070f4,step_2,1632319269.3336983,QA_PASS
715,_result,0,0.0,102.0,79,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319269.4745514,TASK_PAUSED
716,_result,0,437.0,103.0,79,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319269.8849733,TASK_RESUMED
717,_result,0,0.0,300.0,79,RAFCON_6fe11a087d844888b527cad1140070f4,step_3,1632319275.2801738,QA_PASS
718,_result,0,0.0,201.0,79,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319275.3871386,CYCLE_END
719,_result,0,18995.0,202.0,79,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319275.5171666,CYCLE_TIME
